_id,Team Name,Coach Name,Coach Type,Season
5f7d347167193676af277fdb,Toronto Raptors,Nick Nurse,Head Coach,2019-2020
5f7d347167193676af277fc4,Boston Celtics,Brad Stevens,Head Coach,2019-2020
5f7d347167193676af277fce,Miami Heat,Erik Spoelstra,Head Coach,2019-2020
5f7d347167193676af277fdd,Memphis Grizzlies,Taylor Jenkins,Head Coach,2019-2020
5f7d347167193676af277fd2,New York Knicks,Tom Thibodeau,Head Coach,2019-2020
5f7d347167193676af277fc7,Chicago Bulls,Karen Stack Umlauf,Assistant Coach,2019-2020
5f7d347167193676af277fcb,Houston Rockets,"Mike D'Antoni",Head Coach,2019-2020
5f7d347167193676af277fc8,Dallas Mavericks,Rick Carlisle,Head Coach,2019-2020
5f7d347167193676af277fcd,Los Angeles Lakers,Frank Vogel,Head Coach,2019-2020
5f7d347167193676af277fcf,Milwaukee Bucks,Mike Budenholzer,Head Coach,2019-2020
5f7d347167193676af277fd1,Brooklyn Nets,Steve Nash,Head Coach,2019-2020
5f7d347167193676af277fd5,Philadelphia 76ers,Brett Brown,Head Coach,2019-2020
5f7d347167193676af277fc3,Atlanta Hawks,Lloyd Pierce,Head Coach,2019-2020
5f7d347167193676af277fcc,Los Angeles Clippers,Doc Rivers,Head Coach,2019-2020
5f7d347167193676af277fc9,Denver Nuggets,Michael Malone,Head Coach,2019-2020
5f7d347167193676af277fde,Washington Wizards,Scott Brooks,Head Coach,2019-2020
5f7d347167193676af277fd8,Sacramento Kings,Luke Walton,Head Coach,2019-2020
5f7d347167193676af277fc5,Cleveland Cavaliers,JB Bickerstaff,Head Coach,2019-2020
5f7d347167193676af277fd0,Minnesota Timberwolves,Ryan Saunders,Head Coach,2019-2020
5f7d347167193676af277fca,Golden State Warriors,Steve Kerr,Head Coach,2019-2020
5f7d347167193676af277fd3,Orlando Magic,Steve Clifford,Head Coach,2019-2020
5f7d347167193676af277fda,Oklahoma City Thunder,Maurice Cheeks,Assistant Coach,2019-2020
5f7d347167193676af277fd9,San Antonio Spurs,Gregg Popovich,Head Coach,2019-2020
5f7d347167193676af277fc6,New Orleans Pelicans,Chris Finch,Associate Head Coach,2019-2020
5f7d347167193676af277fd4,Indiana Pacers,Popeye Jones,Assistant Coach,2019-2020
5f7d347167193676af277fd6,Phoenix Suns,Monty Williams,Head Coach,2019-2020
5f7d347167193676af277fd7,Portland Trail Blazers,Terry Stotts,Head Coach,2019-2020
5f7d347167193676af277fdc,Utah Jazz,Quin Snyder,Head Coach,2019-2020
5f7d347167193676af277fdf,Detroit Pistons,Dwane Casey,Head Coach,2019-2020
5f7d347167193676af277fe0,Charlotte Hornets,James Borrego,Head Coach,2019-2020