_id,Name,Instance Page Link,Status,Team,City,Position,Jersey,Height (ft),Weight (lbs),Draft Year,Draft Round,Draft Number,School,Birthday,Start Year,End Year,PTS,AST,REB
5f7ce0ba6e423c59a8ebdc50,Ray Allen,,Not Active,Bucks,Milwaukee,Guard,34,6.5,205,1996,1,5,Connecticut,7/20/1975,1996,2013,18.9,3.4,4.1
5f7ce0ba6e423c59a8ebdc58,Larry Bird,,Not Active,Celtics,Boston,Forward,33,6.9,220,1978,1,6,Indiana State,12/7/1956,1979,1991,24.3,6.3,10
5f7ce0ba6e423c59a8ebdc5e,Dave Cowens,,Not Active,Celtics,Boston,Center,18,6.9,230,1970,1,4,Florida State,10/25/1948,1970,1982,17.6,3.8,13.6
5f7ce0ba6e423c59a8ebdc64,Andre Drummond,,Active,Cavaliers,Cleveland,Center,3,6.1,279,2012,1,9,Connecticut,8/10/1993,2012,Present,17.7,2.7,15.2
5f7ce0ba6e423c59a8ebdc8b,Reggie Miller,,Not Active,Pacers,Indiana,Guard,31,6.7,195,1987,1,11,California-Los Angeles,8/24/1965,1987,2004,18.2,3,3
5f7ce0ba6e423c59a8ebdc68,Alex English,,Not Active,Nuggets,Denver,Forward,2,6.8,190,1976,2,23,South Carolina,1/5/1954,1976,1990,21.5,3.6,5.5
5f7ce0ba6e423c59a8ebdc77,Grant Hill,,Not Active,Pistons,Detroit,Forward,33,6.8,225,1994,1,3,Duke,10/5/1972,1994,2012,16.7,4.1,6
5f7ce0ba6e423c59a8ebdc7e,Michael Jordan,,Not Active,Bulls,Chicago,Guard,23,6.6,216,1984,1,3,North Carolina,2/17/1963,1984,2002,30.1,5.3,6.2
5f7ce0ba6e423c59a8ebdc57,Chauncey Billups,,Not Active,Pistons,Detroit,Guard,1,6.3,210,1997,1,3,Colorado,9/25/1976,1997,2013,15.2,5.4,2.9
5f7ce0ba6e423c59a8ebdc74,Blake Griffin,,Active,Pistons,Detroit,Forward,23,6.9,250,2009,1,1,Oklahoma,3/16/1989,2009,Present,15.5,3.3,4.7
5f7ce0ba6e423c59a8ebdc70,Artis Gilmore,,Not Active,Bulls,Chicago,Center,53,7.2,240,1971,7,117,Jacksonville,9/21/1948,1976,1987,17.1,2,10.1
5f7ce0ba6e423c59a8ebdc81,Bob Lanier,,Not Active,Pistons,Detroit,Center,16,6.1,250,1970,1,1,St. Bonaventure,9/10/1948,1970,1983,20.1,3.1,10.1
5f7ce0ba6e423c59a8ebdc8e,Ja Morant,,Active,Grizzlies,Memphis,Guard,12,6.3,174,2019,1,2,Murray State,8/10/1999,2019,Present,17.8,7.3,3.9
5f7ce0ba6e423c59a8ebdc4f,Kareem Abdul-Jabbar,,Not Active,Lakers,Los Angeles,Center,33,7.2,225,1969,1,1,California-Los Angeles,4/16/1947,1969,1988,24.6,3.6,11.2
5f7ce0ba6e423c59a8ebdc56,Bradley Beal,,Active,Wizards,Washington,Guard,3,6.3,207,2012,1,3,Florida,6/28/1993,2012,Present,30.5,6.1,4.2
5f7ce0ba6e423c59a8ebdc5c,Vince Carter,,Active,Hawks,Atlanta,Guard-Forward,15,6.6,220,1998,1,5,North Carolina,1/26/1977,1998,Present,5,0.8,2.1
5f7ce0ba6e423c59a8ebdc82,Kawhi Leonard,,Active,Clippers,LA,Forward,2,6.7,225,2011,1,15,San Diego State,6/29/1991,2011,Present,27.1,4.9,7.1
5f7ce0ba6e423c59a8ebdc83,Damian Lillard,,Active,Trail Blazers,Portland,Guard,0,6.2,195,2012,1,6,Weber State,7/15/1990,2012,Present,30,8,4.3
5f7ce0ba6e423c59a8ebdc84,Kevin Love,,Active,Cavaliers,Cleveland,Forward-Center,0,6.8,251,2008,1,5,UCLA,9/7/1988,2008,Present,17.6,3.2,9.8
5f7ce0ba6e423c59a8ebdc89,Tracy McGrady,,Not Active,Rockets,Houston,Guard-Forward,1,6.8,225,1997,1,9,Mount Zion Christian Academy,5/24/1979,1997,2012,19.6,4.4,5.6
5f7ce0ba6e423c59a8ebdc8a,Kevin McHale,,Not Active,Celtics,Boston,Forward,32,6.1,210,1980,1,3,Minnesota,12/19/1957,1980,1992,17.9,1.7,7.3
5f7ce0ba6e423c59a8ebdc5a,Kobe Bryant,,Not Active,Lakers,Los Angeles,Forward-Guard,24,6.6,212,1996,1,13,Lower Merion,8/23/1978,1996,2015,25,4.7,5.2
5f7ce0ba6e423c59a8ebdc5d,Wilt Chamberlain,,Not Active,Warriors,San Francisco,Center,13,7.1,250,1959,0,0,Kansas,8/21/1936,1959,1972,30.1,4.4,22.9
5f7ce0ba6e423c59a8ebdc65,Joe Dumars,,Not Active,Pistons,Detroit,Guard,4,6.3,195,1985,1,18,McNeese State,5/24/1963,1985,1998,16.1,4.5,2.2
5f7ce0ba6e423c59a8ebdc6f,George Gervin,,Not Active,Spurs,San Antonio,Guard,44,6.7,180,1974,3,40,Eastern Michigan,4/27/1952,1976,1985,26.2,2.8,4.6
5f7ce0ba6e423c59a8ebdc71,Manu Ginobili,,Not Active,Spurs,San Antonio,Guard,20,6.6,205,1999,2,57,,7/28/1977,2002,2017,13.3,3.8,3.5
5f7ce0ba6e423c59a8ebdc72,Rudy Gobert,,Active,Jazz,Utah,Center,27,7.1,258,2013,1,27, ,6/26/1992,2013,Present,15.1,1.5,13.5
5f7ce0ba6e423c59a8ebdc73,Gail Goodrich,,Not Active,Lakers,Los Angeles,Guard,25,6.1,170,1965,0,0,California-Los Angeles,4/23/1943,1965,1978,18.6,4.7,3.2
5f7ce0ba6e423c59a8ebdc6b,Walt Frazier,,Not Active,Knicks,New York,Guard,10,6.4,200,1967,1,5,Southern Illinois,3/29/1945,1967,1979,18.9,6.1,5.9
5f7ce0ba6e423c59a8ebdc53,Mo Bamba,,Active,Magic,Orlando,Center,5,7,231,2018,1,6,University of Texas at Austin,5/12/1998,2018,Present,5.4,0.7,4.9
5f7ce0ba6e423c59a8ebdc6d,Pau Gasol,,Not Active,Bucks,Milwaukee,Center-Forward,17,7,250,2001,1,3, ,7/6/1980,2001,2018,17,3.2,9.2
5f7ce0ba6e423c59a8ebdc85,Karl Malone,,Not Active,Jazz,Utah,Forward,32,6.9,259,1985,1,13,Louisiana Tech,7/24/1963,1985,2003,25,3.6,10.1
5f7ce0ba6e423c59a8ebdc69,Julius Erving,,Not Active,76ers,Philadelphia,Forward,6,6.7,200,1972,1,12,Massachusetts,2/22/1950,1976,1986,22,3.9,6.7
5f7ce0ba6e423c59a8ebdc6c,Kevin Garnett,,Not Active,Timberwolves,Minnesota,Forward,21,6.1,240,1995,1,5,Farragut Career Academy,5/19/1976,1995,2015,17.8,3.7,10
5f7ce0ba6e423c59a8ebdc7c,Magic Johnson,,Not Active,Lakers,Los Angeles,Forward-Guard,32,6.9,220,1979,1,1,Michigan State,8/14/1959,1979,1995,19.5,11.2,7.2
5f7ce0ba6e423c59a8ebdc8d,Earl Monroe,,Not Active,Knicks,New York,Guard,10,6.3,185,1967,1,2,Winston-Salem State,11/21/1944,1967,1979,18.8,3.9,3
5f7ce0ba6e423c59a8ebdc55,Rick Barry,,Not Active,Warriors,Golden State,Forward,24,6.7,205,1965,1,2,Miami (FL),3/28/1944,1965,1979,23.2,5.1,6.5
5f7ce0ba6e423c59a8ebdc7a,Allen Iverson,,Not Active,76ers,Philadelphia,Guard,3,6,165,1996,1,1,Georgetown,6/7/1975,1996,2009,26.7,6.2,3.7
5f7ce0ba6e423c59a8ebdc59,Chris Bosh,,Not Active,Heat,Miami,Forward,1,6.1,235,2003,1,4,Georgia Tech,3/24/1984,2003,2016,19.2,2,8.5
5f7ce0ba6e423c59a8ebdc5f,Stephen Curry,,Active,Warriors,Golden State,Guard,30,6.3,185,2009,1,7,Davidson,3/14/1988,2009,Present,20.8,6.6,5.2
5f7ce0ba6e423c59a8ebdc6a,Patrick Ewing,,Not Active,Knicks,New York,Center,33,7,255,1985,1,1,Georgetown,8/5/1962,1985,2001,21,1.9,9.8
5f7ce0ba6e423c59a8ebdc75,James Harden,,Active,Rockets,Houston,Guard,13,6.5,220,2009,1,3,Arizona State,8/26/1989,2009,Present,34.3,7.5,6.6
5f7ce0ba6e423c59a8ebdc76,Elvin Hayes,,Not Active,Wizards,Washington,Forward,11,6.9,235,1968,1,1,Houston,11/17/1945,1968,1983,21,1.8,12.5
5f7ce0ba6e423c59a8ebdc88,Bob McAdoo,,Not Active,Clippers,Buffalo,Center,11,6.9,210,1972,1,2,North Carolina,9/15/1951,1972,1985,22.1,2.3,9.4
5f7ce0ba6e423c59a8ebdc5b,Jimmy Butler,,Active,Heat,Miami,Forward,22,6.7,230,2011,1,30,Marquette,9/14/1989,2011,Present,19.9,6,6.7
5f7ce0ba6e423c59a8ebdc63,Clyde Drexler,,Not Active,Trail Blazers,Portland,Guard,22,6.7,222,1983,1,14,Houston,6/22/1962,1983,1997,20.4,5.6,6.1
5f7ce0ba6e423c59a8ebdc80,Bernard King,,Not Active,Wizards,Washington,Forward,30,6.7,205,1977,1,7,Tennessee,12/4/1956,1977,1992,22.5,3.3,5.8
5f7ce0ba6e423c59a8ebdc51,Giannis Antetokounmpo,,Active,Bucks,Milwaukee,Forward,34,6.1,242,2013,1,15, ,12/6/1994,2013,Present,29.5,5.6,13.6
5f7ce0ba6e423c59a8ebdc62,Luka Doncic,,Active,Mavericks,Dallas,Forward-Guard,77,6.7,230,2018,1,3, ,2/28/1999,2018,Present,28.8,8.8,9.4
5f7ce0ba6e423c59a8ebdc7b,LeBron James,,Active,Lakers,Los Angeles,Forward,23,6.9,250,2003,1,1, ,12/30/1984,2003,Present,25.3,10.2,7.8
5f7ce0ba6e423c59a8ebdc52,Carmelo Anthony,,Active,Trail Blazers,Portland,Forward,0,6.8,238,2003,1,3,Syracuse,5/29/1984,2003,Present,15.4,1.5,6.3
5f7ce0ba6e423c59a8ebdc7f,Jason Kidd,,Not Active,Nets,New Jersey,Guard,5,6.4,210,1994,1,2,California,3/23/1973,1994,2012,12.6,8.7,6.3
5f7ce0ba6e423c59a8ebdc8c,Donovan Mitchell,,Active,Jazz,Utah,Guard,45,6.1,215,2017,1,13,Louisville,9/7/1996,2017,Present,24,4.3,4.4
5f7ce0ba6e423c59a8ebdc54,Charles Barkley,,Not Active,76ers,Philadelphia,Forward,34,6.6,252,1984,1,5,Auburn,2/20/1963,1984,1999,22.1,3.9,11.7
5f7ce0ba6e423c59a8ebdc61,Anthony Davis,,Active,Lakers,Los Angeles,Forward-Center,3,6.1,253,2012,1,1,Kentucky,3/11/1993,2012,Present,26.1,3.2,9.3
5f7ce0ba6e423c59a8ebdc78,Dwight Howard,,Active,Lakers,Los Angeles,Center-Forward,39,6.1,265,2004,1,1, ,12/8/1985,2004,Present,7.5,0.7,7.3
5f7ce0ba6e423c59a8ebdc7d,Dennis Johnson,,Not Active,Celtics,Boston,Guard,3,6.4,185,1976,2,29,Pepperdine,9/18/1954,1976,1989,14.1,5,3.9
5f7ce0ba6e423c59a8ebdc60,Adrian Dantley,,Not Active,Jazz,Utah,Forward,4,6.5,208,1976,1,6,Notre Dame,2/26/1955,1976,1990,24.3,3,5.7
5f7ce0ba6e423c59a8ebdc66,Tim Duncan,,Not Active,Spurs,San Antonio,Center-Forward,21,6.1,250,1997,1,1,Wake Forest,4/25/1976,1997,2015,19,3,10.8
5f7ce0ba6e423c59a8ebdc67,Kevin Durant,,Active,Nets,Brooklyn,Forward,7,6.1,240,2007,1,2,Texas,9/29/1988,2007,Present,26,5.9,6.4
5f7ce0ba6e423c59a8ebdc6e,Paul George,,Active,Clippers,LA,Forward,13,6.8,220,2010,1,10,Fresno State,5/2/1990,2010,Present,21.5,3.9,5.7
5f7ce0ba6e423c59a8ebdc79,Kyrie Irving,,Active,Nets,Brooklyn,Guard,11,6.2,195,2011,1,1,Duke,3/23/1992,2011,Present,27.4,6.4,5.2
5f7ce0ba6e423c59a8ebdc86,Moses Malone,,Not Active,Rockets,Houston,Center,24,6.1,215,Undrafted,Undrafted,Undrafted,,3/23/1955,1976,1994,20.6,1.4,12.2
5f7ce0ba6e423c59a8ebdc87,Pete Maravich,,Not Active,Jazz,Utah,Guard,7,6.5,197,1970,1,3,Louisiana State,6/22/1947,1970,1979,24.2,5.4,4.2
5f7ce0ba6e423c59a8ebdcaf,Zion Williamson,,Active,Pelicans,New Orleans,Forward,1,6.6,284,2019,1,1,Duke,7/6/2000,2019,Present,22.5,2.1,6.3
5f7ce0ba6e423c59a8ebdc9f,Bill Russell,,Not Active,Celtics,Boston,Center,6,6.1,215,1956,1,2,San Francisco,2/12/1934,1956,1968,15.1,4.3,22.5
5f7ce0ba6e423c59a8ebdca3,Isiah Thomas,,Not Active,Pistons,Detroit,Guard,11,6.1,180,1981,1,2,Indiana,4/30/1961,1981,1993,19.2,9.3,3.6
5f7ce0ba6e423c59a8ebdca9,Dwyane Wade,,Not Active,Heat,Miami,Guard,3,6.4,220,2003,1,5,Marquette,1/17/1982,2003,2018,22,5.4,4.7
5f7ce0ba6e423c59a8ebdc97,Chris Paul,,Active,Thunder,Oklahoma City,Guard,3,6.1,175,2005,1,4,Wake Forest,5/6/1985,2005,Present,17.6,6.7,5
5f7ce0ba6e423c59a8ebdca8,Nikola Vucevic,,Active,Magic,Orlando,Center,9,6.1,260,2011,1,16,USC,10/24/1990,2011,Present,19.6,3.6,10.9
5f7ce0ba6e423c59a8ebdc98,Gary Payton,,Not Active,Thunder,Seattle,Guard,20,6.4,190,1990,1,2,Oregon State,7/23/1968,1990,2006,16.3,6.7,3.9
5f7ce0ba6e423c59a8ebdcad,Hassan Whiteside,,Active,Trail Blazers,Portland,Center,21,7,265,2010,2,33,Marshall,6/13/1989,2010,Present,15.5,1.2,13.5
5f7ce0ba6e423c59a8ebdcb1,James Worthy,,Not Active,Lakers,Los Angeles,Forward,42,6.9,225,1982,1,1,North Carolina,2/27/1961,1982,1993,17.6,3,5.1
5f7ce0ba6e423c59a8ebdc90,Dikembe Mutombo,,Not Active,Nuggets,Denver,Center,55,7.2,260,1991,1,4,Georgetown,6/25/1966,1991,2008,9.8,1,10.3
5f7ce0ba6e423c59a8ebdc91,Steve Nash,,Not Active,Suns,Phoenix,Guard,10,6.3,178,1996,1,15,Santa Clara,2/7/1974,1996,2013,14.3,8.5,3
5f7ce0ba6e423c59a8ebdc9a,Scottie Pippen,,Not Active,Bulls,Chicago,Forward-Guard,33,6.8,228,1987,1,5,Central Arkansas,9/25/1965,1987,2003,16.1,5.2,6.4
5f7ce0ba6e423c59a8ebdc9d,David Robinson,,Not Active,Spurs,San Antonio,Center,50,7.1,250,1987,1,1,Navy,8/6/1965,1989,2002,21.1,2.5,10.6
5f7ce0ba6e423c59a8ebdca5,David Thompson,,Not Active,Nuggets,Denver,Guard,33,6.4,195,1975,1,1,North Carolina State,7/13/1954,1976,1983,22.1,3.2,3.8
5f7ce0ba6e423c59a8ebdcaa,Kemba Walker,,Active,Celtics,Boston,Guard,8,6,184,2011,1,9,Connecticut,5/8/1990,2011,Present,20.4,4.8,3.9
5f7ce0ba6e423c59a8ebdcac,Russell Westbrook,,Active,Rockets,Houston,Guard,0,6.3,200,2008,1,4,UCLA,11/12/1988,2008,Present,27.2,7,7.9
5f7ce0ba6e423c59a8ebdc94,Shaquille O'Neal,,Not Active,Lakers,Los Angeles,Center,34,7.1,325,1992,1,1,Louisiana State,3/6/1972,1992,2010,23.7,2.5,10.9
5f7ce0ba6e423c59a8ebdc95,Robert Parish,,Not Active,Celtics,Boston,Center,0,7.1,244,1976,1,8,Centenary (LA),8/30/1953,1976,1996,14.5,1.4,9.1
5f7ce0ba6e423c59a8ebdc96,Tony Parker,,Not Active,Hornets,Charlotte,Guard,9,6.2,185,2001,1,28, ,5/17/1982,2001,2018,15.5,5.6,2.7
5f7ce0ba6e423c59a8ebdc9b,Willis Reed,,Not Active,Knicks,New York,Center,19,6.1,235,1964,2,8,Grambling,6/25/1942,1964,1973,18.7,1.8,12.9
5f7ce0ba6e423c59a8ebdca0,Domantas Sabonis,,Active,Pacers,Indiana,Forward-Center,11,6.1,240,2016,1,11,Gonzaga,5/3/1996,2016,Present,18.5,5,12.4
5f7ce0ba6e423c59a8ebdcb0,Christian Wood,,Active,Pistons,Detroit,Forward,35,6.1,214,Undrafted,Undrafted,Undrafted,UNLV,9/27/1995,2015,Present,13.1,1,6.3
5f7ce0ba6e423c59a8ebdca4,Klay Thompson,,Active,Warriors,Golden State,Guard,11,6.6,215,2011,1,11,Washington State,2/8/1990,2011,Present,21.5,2.4,3.8
5f7ce0ba6e423c59a8ebdc9e,Derrick Rose,,Active,Pistons,Detroit,Guard,25,6.2,200,2008,1,1,Memphis,10/4/1988,2008,Present,18.1,5.6,2.4
5f7ce0ba6e423c59a8ebdc99,Paul Pierce,,Not Active,Celtics,Boston,Forward,34,6.7,235,1998,1,10,Kansas,10/13/1977,1998,2016,19.7,3.5,5.6
5f7ce0ba6e423c59a8ebdca6,Wes Unseld,,Not Active,Wizards,Washington,Center,41,6.7,245,1968,1,2,Louisville,3/14/1946,1968,1980,10.8,3.9,14
5f7ce0ba6e423c59a8ebdc92,Dirk Nowitzki,,Not Active,Mavericks,Dallas,Forward,41,7,245,1998,1,9, ,6/19/1978,1998,2018,20.7,2.4,7.5
5f7ce0ba6e423c59a8ebdc93,Hakeem Olajuwon,,Not Active,Rockets,Houston,Center,34,7,255,1984,1,1,Houston,1/21/1963,1984,2002,21.8,2.5,11.1
5f7ce0ba6e423c59a8ebdca1,Ben Simmons,,Active,76ers,Philadelphia,Guard-Forward,25,6.1,240,2016,1,1,Louisiana State,7/20/1996,2016,Present,16.4,8,7.8
5f7ce0ba6e423c59a8ebdca2,John Stockton,,Not Active,Jazz,Utah,Guard,12,6.1,175,1984,1,16,Gonzaga,3/26/1962,1984,2002,13.1,10.5,2.7
5f7ce0ba6e423c59a8ebdca7,Jonas Valanciunas,,Active,Grizzlies,Memphis,Center,17,6.1,265,2011,1,5, ,5/6/1992,2012,Present,14.9,1.9,11.3
5f7ce0ba6e423c59a8ebdc9c,Mitch Richmond,,Not Active,Kings,Sacramento,Guard,2,6.5,220,1988,1,5,Kansas State,6/30/1965,1988,2001,21,3.5,3.9
5f7ce0ba6e423c59a8ebdcae,Dominique Wilkins,,Not Active,Hawks,Atlanta,Forward,21,6.8,230,1982,1,3,Georgia,1/12/1960,1982,1998,24.8,2.5,6.7
5f7ce0ba6e423c59a8ebdcb2,Trae Young,,Active,Hawks,Atlanta,Guard,11,6.1,180,2018,1,5,Oklahoma,9/19/1998,2018,Present,29.6,9.3,4.3
5f7ce0ba6e423c59a8ebdc8f,Alonzo Mourning,,Not Active,Heat,Miami,Center,33,6.1,261,1992,1,2,Georgetown,2/8/1970,1992,2007,17.1,1.1,8.5
5f7ce0ba6e423c59a8ebdcab,Bill Walton,,Not Active,Trail Blazers,Portland,Center,32,6.1,210,1974,1,1,California-Los Angeles,11/5/1952,1974,1986,13.3,3.4,10.5
